agent_a_key,agent_b_key,mean_avg_decision_sec_a,mean_avg_decision_sec_b,mean_avg_game_length,mean_avg_score_a,mean_avg_score_b,mean_draw_rate,mean_legal_cache_hit_rate,mean_next_cache_hit_rate,mean_win_rate_a,n_games,time_budget
pure_mct,random,0.10709803823554986,5.082882495366832e-06,29.599999999999998,66.66666666666667,33.333333333333336,0.06666666666666667,0.3639090061742944,0.11247817537557576,0.6333333333333333,3,0.2
heuristic_mcts,random,0.10451153933761702,5.733996453778615e-06,31.233333333333334,63.333333333333336,36.666666666666664,0.06666666666666667,0.3145261568904378,0.10012435056017073,0.6,3,0.2
neural_mcts:token_transformer,random,0.1115426575510251,6.817604323423441e-06,27.233333333333334,80.0,20.0,0.0,0.7992981739318434,0.11970718578402056,0.7999999999999999,3,0.2
pure_mct,random,0.36050312514031796,5.737280366735741e-06,29.333333333333332,83.33333333333333,16.666666666666668,0.06666666666666667,0.30200538732194,0.07002791618905073,0.7999999999999999,3,0.7
heuristic_mcts,random,0.3630941609892653,5.174874104506129e-06,26.7,81.66666666666667,18.333333333333332,0.03333333333333333,0.3247370460325238,0.09106847523930395,0.7999999999999999,3,0.7
neural_mcts:token_transformer,random,0.36647925553001204,5.170412650978812e-06,22.933333333333334,83.33333333333333,16.666666666666668,0.0,0.8401856768717311,0.04322589992495674,0.8333333333333334,3,0.7
pure_mct,random,0.6027402688468585,2.1381435693007508e-06,24.700000000000003,86.66666666666667,13.333333333333334,0.0,0.31238276608867604,0.07603692079423176,0.8666666666666667,3,1.5
heuristic_mcts,random,0.5966012812835703,2.673347477345177e-06,22.033333333333335,91.66666666666667,8.333333333333334,0.03333333333333333,0.35123595130672264,0.10115650681526957,0.9,3,1.5
neural_mcts:token_transformer,random,0.5631663059075881,2.5711747294844988e-06,20.833333333333332,93.33333333333333,6.666666666666667,0.0,0.8924962074163152,0.03353597211882459,0.9333333333333332,3,1.5
