agent_a_key,agent_b_key,avg_decision_sec_a,avg_decision_sec_b,avg_game_length,avg_score_a,avg_score_b,cache_enabled,dataset_games,draw_rate,draws,game,legal_cache_hit_rate,losses_a,n_matches,next_cache_hit_rate,win_rate_a,wins_a
value_greedy:token_transformer_global,random,0.11807840233150238,5.8592700498343275e-06,16.7,40.0,60.0,True,200,0.0,0,connectFour,0.0,6,10,0.10209102091020911,0.4,4
value_greedy:token_transformer_global,random,0.10323121519530112,4.8367898483904835e-06,18.8,30.0,70.0,True,500,0.0,0,connectFour,0.0,7,10,0.10175054704595186,0.3,3
value_greedy:token_transformer_global,random,0.10920371683567125,4.669842177417968e-06,19.3,20.0,80.0,True,1000,0.0,0,connectFour,0.0,8,10,0.10204081632653061,0.2,2
