nohup: ignoring input
[progress][group-start] 1/1 game=connectFour pair=neural_mcts:token_transformer__vs__pure_mct
swipl: /home/yuancheng/anaconda3/envs/ggp_thesis/lib/swipl/bin/x86_64-linux/../../lib/x86_64-linux/../../../libtinfo.so.6: no version information available (required by /home/yuancheng/anaconda3/envs/ggp_thesis/lib/swipl/bin/x86_64-linux/../../lib/x86_64-linux/libswipl.so.10)
/home/yuancheng/workspace/GGP/graduation_thesis/src/nn/inference.py:43: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  checkpoint = torch.load(model_path, map_location=device)
/home/yuancheng/anaconda3/envs/ggp_thesis/lib/python3.10/site-packages/torch/nn/modules/transformer.py:502: UserWarning: The PyTorch API of nested tensors is in prototype stage and will change in the near future. (Triggered internally at ../aten/src/ATen/NestedTensorImpl.cpp:178.)
  output = torch._nested_tensor_from_mask(
[progress][match] game=connectFour pair=neural_mcts:token_transformer__vs__pure_mct round=24/30 winner=b score_a=0.0 score_b=100.0 ply=17 elapsed_sec=8.85
[progress][match] game=connectFour pair=neural_mcts:token_transformer__vs__pure_mct round=25/30 winner=a score_a=100.0 score_b=0.0 ply=7 elapsed_sec=3.64
[progress][match] game=connectFour pair=neural_mcts:token_transformer__vs__pure_mct round=26/30 winner=b score_a=0.0 score_b=100.0 ply=27 elapsed_sec=14.08
[progress][match] game=connectFour pair=neural_mcts:token_transformer__vs__pure_mct round=27/30 winner=b score_a=0.0 score_b=100.0 ply=22 elapsed_sec=11.43
[progress][match] game=connectFour pair=neural_mcts:token_transformer__vs__pure_mct round=28/30 winner=b score_a=0.0 score_b=100.0 ply=19 elapsed_sec=9.61
[progress][match] game=connectFour pair=neural_mcts:token_transformer__vs__pure_mct round=29/30 winner=b score_a=0.0 score_b=100.0 ply=20 elapsed_sec=10.40
[progress][match] game=connectFour pair=neural_mcts:token_transformer__vs__pure_mct round=30/30 winner=a score_a=100.0 score_b=0.0 ply=16 elapsed_sec=8.33
[progress][group-done] 1/1 game=connectFour pair=neural_mcts:token_transformer__vs__pure_mct n_matches=30 win_rate_a=0.633 draw_rate=0.000 elapsed_sec=207.99
[progress][group-start] 1/1 game=connectFour pair=neural_mcts:token_transformer__vs__pure_mct
[progress][match] game=connectFour pair=neural_mcts:token_transformer__vs__pure_mct round=1/30 winner=a score_a=100.0 score_b=0.0 ply=7 elapsed_sec=3.58
[progress][match] game=connectFour pair=neural_mcts:token_transformer__vs__pure_mct round=2/30 winner=a score_a=100.0 score_b=0.0 ply=8 elapsed_sec=3.98
[progress][match] game=connectFour pair=neural_mcts:token_transformer__vs__pure_mct round=3/30 winner=a score_a=100.0 score_b=0.0 ply=21 elapsed_sec=10.95
[progress][match] game=connectFour pair=neural_mcts:token_transformer__vs__pure_mct round=4/30 winner=a score_a=100.0 score_b=0.0 ply=24 elapsed_sec=12.50
[progress][match] game=connectFour pair=neural_mcts:token_transformer__vs__pure_mct round=5/30 winner=a score_a=100.0 score_b=0.0 ply=7 elapsed_sec=3.61
[progress][match] game=connectFour pair=neural_mcts:token_transformer__vs__pure_mct round=6/30 winner=b score_a=0.0 score_b=100.0 ply=15 elapsed_sec=7.75
[progress][match] game=connectFour pair=neural_mcts:token_transformer__vs__pure_mct round=7/30 winner=a score_a=100.0 score_b=0.0 ply=7 elapsed_sec=3.60
