[progress][group-start] 1/6 game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__pure_mct
swipl: /home/yuancheng/anaconda3/envs/ggp_thesis/lib/swipl/bin/x86_64-linux/../../lib/x86_64-linux/../../../libtinfo.so.6: no version information available (required by /home/yuancheng/anaconda3/envs/ggp_thesis/lib/swipl/bin/x86_64-linux/../../lib/x86_64-linux/libswipl.so.10)
/home/yuancheng/workspace/GGP/graduation_thesis/src/nn/inference.py:42: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  checkpoint = torch.load(model_path, map_location=device)
/home/yuancheng/anaconda3/envs/ggp_thesis/lib/python3.10/site-packages/torch/nn/modules/transformer.py:502: UserWarning: The PyTorch API of nested tensors is in prototype stage and will change in the near future. (Triggered internally at ../aten/src/ATen/NestedTensorImpl.cpp:178.)
  output = torch._nested_tensor_from_mask(
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__pure_mct round=29/50 winner=b score_a=0.0 score_b=100.0 ply=40 elapsed_sec=20.41
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__pure_mct round=30/50 winner=a score_a=100.0 score_b=0.0 ply=86 elapsed_sec=43.72
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__pure_mct round=31/50 winner=a score_a=100.0 score_b=0.0 ply=49 elapsed_sec=24.89
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__pure_mct round=32/50 winner=a score_a=100.0 score_b=0.0 ply=82 elapsed_sec=41.60
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__pure_mct round=33/50 winner=a score_a=100.0 score_b=0.0 ply=41 elapsed_sec=20.85
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__pure_mct round=34/50 winner=b score_a=0.0 score_b=100.0 ply=89 elapsed_sec=45.25
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__pure_mct round=35/50 winner=b score_a=0.0 score_b=100.0 ply=64 elapsed_sec=32.52
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__pure_mct round=36/50 winner=b score_a=0.0 score_b=100.0 ply=69 elapsed_sec=35.07
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__pure_mct round=37/50 winner=b score_a=0.0 score_b=100.0 ply=40 elapsed_sec=20.35
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__pure_mct round=38/50 winner=a score_a=100.0 score_b=0.0 ply=90 elapsed_sec=45.70
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__pure_mct round=39/50 winner=b score_a=0.0 score_b=100.0 ply=62 elapsed_sec=31.56
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__pure_mct round=40/50 winner=a score_a=100.0 score_b=0.0 ply=82 elapsed_sec=41.68
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__pure_mct round=41/50 winner=b score_a=0.0 score_b=100.0 ply=48 elapsed_sec=24.42
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__pure_mct round=42/50 winner=a score_a=100.0 score_b=0.0 ply=88 elapsed_sec=44.69
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__pure_mct round=43/50 winner=b score_a=0.0 score_b=100.0 ply=50 elapsed_sec=25.45
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__pure_mct round=44/50 winner=a score_a=100.0 score_b=0.0 ply=94 elapsed_sec=47.71
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__pure_mct round=45/50 winner=b score_a=0.0 score_b=100.0 ply=54 elapsed_sec=27.42
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__pure_mct round=46/50 winner=a score_a=100.0 score_b=0.0 ply=86 elapsed_sec=43.72
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__pure_mct round=47/50 winner=b score_a=0.0 score_b=100.0 ply=74 elapsed_sec=37.60
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__pure_mct round=48/50 winner=a score_a=100.0 score_b=0.0 ply=70 elapsed_sec=35.63
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__pure_mct round=49/50 winner=a score_a=100.0 score_b=0.0 ply=41 elapsed_sec=20.85
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__pure_mct round=50/50 winner=a score_a=100.0 score_b=0.0 ply=70 elapsed_sec=35.59
[progress][group-done] 1/6 game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__pure_mct n_matches=50 win_rate_a=0.560 draw_rate=0.000 elapsed_sec=1732.27
[progress][group-start] 2/6 game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__heuristic_mcts
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__heuristic_mcts round=1/50 winner=b score_a=0.0 score_b=100.0 ply=38 elapsed_sec=19.32
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__heuristic_mcts round=2/50 winner=a score_a=100.0 score_b=0.0 ply=76 elapsed_sec=38.60
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__heuristic_mcts round=3/50 winner=b score_a=0.0 score_b=100.0 ply=48 elapsed_sec=24.41
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__heuristic_mcts round=4/50 winner=a score_a=100.0 score_b=0.0 ply=68 elapsed_sec=34.54
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__heuristic_mcts round=5/50 winner=b score_a=0.0 score_b=100.0 ply=36 elapsed_sec=18.33
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__heuristic_mcts round=6/50 winner=a score_a=100.0 score_b=0.0 ply=80 elapsed_sec=40.66
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__heuristic_mcts round=7/50 winner=b score_a=0.0 score_b=100.0 ply=28 elapsed_sec=14.21
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__heuristic_mcts round=8/50 winner=a score_a=100.0 score_b=0.0 ply=88 elapsed_sec=44.69
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__heuristic_mcts round=9/50 winner=b score_a=0.0 score_b=100.0 ply=36 elapsed_sec=18.27
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__heuristic_mcts round=10/50 winner=a score_a=100.0 score_b=0.0 ply=92 elapsed_sec=46.75
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__heuristic_mcts round=11/50 winner=b score_a=0.0 score_b=100.0 ply=48 elapsed_sec=24.37
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__heuristic_mcts round=12/50 winner=a score_a=100.0 score_b=0.0 ply=82 elapsed_sec=41.66
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__heuristic_mcts round=13/50 winner=b score_a=0.0 score_b=100.0 ply=30 elapsed_sec=15.28
