agent_a_key,agent_b_key,gate_type,mean_avg_decision_sec_a,mean_avg_decision_sec_b,mean_avg_game_length,mean_avg_score_a,mean_avg_score_b,mean_draw_rate,mean_legal_cache_hit_rate,mean_mean_budget_ok_rate_a,mean_mean_fast_calls_a,mean_mean_fast_eval_time_a,mean_mean_leaf_eval_a,mean_mean_slow_call_ratio_a,mean_mean_slow_calls_a,mean_mean_slow_eval_time_a,mean_mean_slow_trigger_rate_a,mean_mean_u_fast_max_a,mean_mean_u_fast_mean_a,mean_mean_u_fast_p50_a,mean_mean_u_fast_p90_a,mean_mean_u_fast_p95_a,mean_mean_uncertainty_ok_rate_a,mean_mean_visit_ok_rate_a,mean_next_cache_hit_rate,mean_win_rate_a,n_games,slow_budget_per_move,tau,uncertainty_type,visit_threshold
two_stage_neural_mcts,neural_mcts:token_transformer,combined,0.3557446465587553,0.3520353229304637,43.0,70.0,30.0,0.0,0.7549483505498167,0.03682444456519429,4758.4,0.0002471301051889125,4758.4,0.03633176547383703,170.0,0.004332310069818759,0.03682444456519429,0.0005379600120448832,0.00032507466823412804,0.00032507466823412804,0.0005379600120448832,0.0005379600120448832,0.9886292218036641,0.9886292218036641,0.04996100604406317,0.7,1,4,0.0001,variance_head,0
two_stage_neural_mcts,pure_mct,combined,0.35839295900747903,0.34864712317610436,44.7,100.0,0.0,0.0,0.45260587739441327,0.03735040261582182,4862.6,0.00024934805083487633,4862.6,0.036695062476961623,176.8,0.004007024773446102,0.03735040261582182,0.0005386033826767798,0.0003254634396855978,0.0003254634396855978,0.0005386033826767798,0.0005386033826767798,0.989811568061568,0.989811568061568,0.026834226575494363,1.0,1,4,0.0001,variance_head,0
two_stage_neural_mcts,neural_mcts:token_transformer,combined,0.3566112187967156,0.35177879475510115,40.7,100.0,0.0,0.0,0.7503957403943013,0.07491115793666145,4354.0,0.0002386049502563492,4354.0,0.0744851439128992,321.6,0.003641639567196143,0.07491115793666145,0.0005327792771307546,0.0003219440904110336,0.0003219440904110336,0.0005327792771307546,0.0005327792771307546,0.9791083916083917,0.9791083916083917,0.05037068194962932,1.0,1,8,0.0001,variance_head,0
two_stage_neural_mcts,pure_mct,combined,0.3568020800178167,0.34972711698363984,42.4,90.0,10.0,0.0,0.44726466239526863,0.07444115846771202,4553.0,0.00024203714091174344,4553.0,0.07372438674048558,335.2,0.0037150597774096216,0.07444115846771202,0.0005382834303887457,0.000325270101181704,0.000325270101181704,0.0005382834303887457,0.0005382834303887457,0.9892235797827903,0.9892235797827903,0.02633725672998485,0.9,1,8,0.0001,variance_head,0
two_stage_neural_mcts,neural_mcts:token_transformer,combined,0.35844609854562176,0.34883792574450356,37.2,70.0,30.0,0.0,0.7575861937014503,0.9015236814354205,4126.0,0.0002360202894886179,4126.0,0.03109048355217281,128.4,0.0038639528433817016,0.030105034441534183,0.0005385250939868287,0.00032541613195018524,0.00032541613195018524,0.0005385250939868287,0.0005385250939868287,0.9896676940097994,0.11824904701591285,0.05044560282495376,0.7,1,4,0.0001,variance_head,1
two_stage_neural_mcts,pure_mct,combined,0.358210567834351,0.34881248276187116,48.2,90.0,10.0,0.0,0.45975130026137234,0.9032181540318984,5347.2,0.0002439462110160216,5347.2,0.030299622837827778,164.0,0.003917632932886894,0.02921150599617318,0.0005398273533072517,0.00032620305199454344,0.00032620305199454344,0.0005398273533072517,0.0005398273533072517,0.992060904638304,0.11805425660257876,0.026330872189069824,0.9,1,4,0.0001,variance_head,1
two_stage_neural_mcts,neural_mcts:token_transformer,combined,0.35689524399219497,0.35177591360895355,41.7,60.0,40.0,0.0,0.7538264422743958,0.93603013954216,4526.8,0.00023984928977869557,4526.8,0.05763940424436896,269.2,0.0038304290464232908,0.05572955228110614,0.0005381625263494423,0.00032519704214462925,0.00032519704214462925,0.0005381625263494423,0.0005381625263494423,0.9890013899106564,0.10870080264960269,0.05193617237524139,0.6,1,8,0.0001,variance_head,1
two_stage_neural_mcts,pure_mct,combined,0.3591089422164142,0.34830232546471673,56.4,90.0,10.0,0.0,0.4577736890524379,0.9338561281173495,6055.4,0.00025096656491595926,6055.4,0.05331334846689721,344.8,0.0038627005785233613,0.0515269149935253,0.0005409848936775887,0.0003269025222961084,0.0003269025222961084,0.0005409848936775887,0.0005409848936775887,0.9941881598429848,0.1118589467191606,0.027257290080805716,0.9,1,8,0.0001,variance_head,1
two_stage_neural_mcts,neural_mcts:token_transformer,combined,0.35075253517623395,0.3575228391633623,46.1,40.0,60.0,0.0,0.757726144822919,0.0646833162274332,4960.0,0.0002534884964273635,4960.0,0.03700916531004973,182.4,0.003866775851736619,0.036961894987104685,0.0005354388109491831,0.0003235511746818454,0.0003235511746818454,0.0005354388109491831,0.0005354388109491831,0.49199795815679054,0.9839959163135811,0.050606343283582086,0.4,1,4,0.0002,variance_head,0
two_stage_neural_mcts,pure_mct,combined,0.35461327992869746,0.35219330625392675,43.4,70.0,30.0,0.0,0.44255741252855596,0.06387078261256578,4721.8,0.00024554316073232993,4721.8,0.03630246930151832,171.6,0.004025661679011306,0.03649759006432331,0.000537681230793656,0.00032490620827293484,0.00032490620827293484,0.000537681230793656,0.000537681230793656,0.49405844753905104,0.9881168950781021,0.026643050949653302,0.7,1,4,0.0002,variance_head,0
two_stage_neural_mcts,neural_mcts:token_transformer,combined,0.3519529372181883,0.3564760769252171,53.6,50.0,50.0,0.0,0.7558872305140962,0.14162215353753055,5701.2,0.0002476061395154696,5701.2,0.07501919783027661,424.8,0.003961298130081325,0.07553181522001627,0.0005371198023732921,0.0003245669522810382,0.0003245669522810382,0.0005371198023732921,0.0005371198023732921,0.49354256854256856,0.9870851370851371,0.05190311418685121,0.5,1,8,0.0002,variance_head,0
two_stage_neural_mcts,pure_mct,combined,0.35331968640115197,0.35341299653557356,55.5,60.0,40.0,0.0,0.44364689279283664,0.1455579902435296,5755.8,0.00025036424580582555,5755.8,0.07671986914898006,440.0,0.004107134745919194,0.07763092812988245,0.0005392912554382024,0.0003258791025688978,0.0003258791025688978,0.0005392912554382024,0.0005392912554382024,0.4955378487731429,0.9910756975462858,0.027533577533577533,0.6,1,8,0.0002,variance_head,0
two_stage_neural_mcts,neural_mcts:token_transformer,combined,0.35681571036308424,0.3512336264148147,36.8,50.0,50.0,0.0,0.7583369768273779,0.9309850012912074,4010.6,0.00024487201346285543,4010.6,0.02590499539431388,113.0,0.0040173351141685465,0.0248000288726481,0.0005381040420237027,0.0003251617016502412,0.0003251617016502412,0.0005381040420237027,0.0005381040420237027,0.4944469555396197,0.10230195568361751,0.051131117266851336,0.5,1,4,0.0002,variance_head,1
two_stage_neural_mcts,pure_mct,combined,0.35652468677402893,0.35027890726027433,57.8,90.0,10.0,0.0,0.45782416275843846,0.9215425219340444,6438.8,0.0002477053737922421,6438.8,0.02663223072752676,174.6,0.004078645788000977,0.025724172350053608,0.0005404025116813254,0.00032655060462568307,0.00032655060462568307,0.0005404025116813254,0.0005404025116813254,0.49655894734019734,0.11729616571888783,0.02668944464670793,0.9,1,4,0.0002,variance_head,1
two_stage_neural_mcts,neural_mcts:token_transformer,combined,0.35594958225546425,0.3530214745447286,35.6,50.0,50.0,0.0,0.7543917525773196,0.9680301708927749,3824.2,0.0002459308510641859,3824.2,0.044416771355551166,188.4,0.004028342306464096,0.04253114264444655,0.000537008037246953,0.0003244994156416015,0.0003244994156416015,0.000537008037246953,0.000537008037246953,0.4934398710674742,0.1008785695689782,0.052039465768258936,0.5,1,8,0.0002,variance_head,1
two_stage_neural_mcts,pure_mct,combined,0.3563447960197429,0.351003383118929,51.8,70.0,30.0,0.0,0.4496640943033391,0.9710519287398407,5622.6,0.00024782745259581044,5622.6,0.042772344452585806,274.8,0.0043100300529297355,0.04141488255668431,0.0005401029053546417,0.0003263695606352992,0.0003263695606352992,0.0005401029053546417,0.0005401029053546417,0.49628364846763723,0.10152971607889291,0.02665022761760243,0.7,1,8,0.0002,variance_head,1
two_stage_neural_mcts,neural_mcts:token_transformer,combined,0.35157665122337994,0.3568754242971113,41.2,50.0,50.0,0.0,0.7568325406403067,0.06383957313949393,4485.2,0.00024742669773578915,4485.2,0.03640867745024783,162.8,0.003924816804038789,0.03647975607971081,0.0005355593198204188,0.00032362399492955735,0.00032362399492955735,0.0005355593198204188,0.0005355593198204188,0.4921086899852932,0.9842173799705864,0.05074365704286964,0.5,1,4,0.0003,variance_head,0
two_stage_neural_mcts,pure_mct,combined,0.3562733447143914,0.350281208478902,41.0,70.0,30.0,0.0,0.44823868860775545,0.06437064309264856,4455.2,0.00024360891325276218,4455.2,0.03639688749154378,162.0,0.0041242995333683925,0.0367832246243706,0.0005382524224407951,0.0003252513639184001,0.0003252513639184001,0.0005382524224407951,0.0005382524224407951,0.494583297658919,0.989166595317838,0.02640555399494362,0.7,1,4,0.0003,variance_head,0
two_stage_neural_mcts,neural_mcts:token_transformer,combined,0.3535458152776304,0.3548343937518536,48.2,70.0,30.0,0.0,0.7582137755418918,0.14290746244752633,5069.0,0.00024700226114717167,5069.0,0.07578331603421033,381.6,0.003936949340568008,0.0762173133053474,0.0005344354833174026,0.0003229448909623708,0.0003229448909623708,0.0005344354833174026,0.0005344354833174026,0.4910760318113259,0.9821520636226518,0.05122072295681213,0.7,1,8,0.0003,variance_head,0
two_stage_neural_mcts,pure_mct,combined,0.3547165069979464,0.35199292766802875,50.5,60.0,40.0,0.0,0.4413375460768826,0.14276768075109506,5333.2,0.0002481213890115523,5333.2,0.07547186809877615,400.0,0.0041054103511273315,0.07614276306725068,0.0005390705080001893,0.00032574571086957274,0.00032574571086957274,0.0005390705080001893,0.0005390705080001893,0.49533501086421683,0.9906700217284337,0.027143799472295515,0.6,1,8,0.0003,variance_head,0
two_stage_neural_mcts,neural_mcts:token_transformer,combined,0.35705397100124187,0.35091158659118815,41.1,60.0,40.0,0.0,0.7577385256344041,0.9245704603290757,4607.4,0.00024108819433629083,4607.4,0.029545378536108162,140.4,0.003980470892263448,0.028865800010248948,0.0005387505288113917,0.00032555235611027593,0.00032555235611027593,0.0005387505288113917,0.0005387505288113917,0.4950409920065587,0.11711274763967985,0.05039734433155618,0.6,1,4,0.0003,variance_head,1
two_stage_neural_mcts,pure_mct,combined,0.3599664931194499,0.34718923410444774,38.9,100.0,0.0,0.0,0.4561974685226404,0.9376204135264977,4212.0,0.00024685343373982195,4212.0,0.024349215034482983,113.2,0.004168916134812474,0.023178269867808805,0.0005372836518384399,0.00032466596207606147,0.00032466596207606147,0.0005372836518384399,0.0005372836518384399,0.49369312468577176,0.09129966634571902,0.026479949077021007,1.0,1,4,0.0003,variance_head,1
two_stage_neural_mcts,neural_mcts:token_transformer,combined,0.3541621360668886,0.35360360488642506,40.9,40.0,60.0,0.0,0.7583776736319109,0.9547414448145535,4472.0,0.00024003664169654874,4472.0,0.04682301445081386,224.6,0.0039530183783894664,0.0452561109283487,0.0005371630406883328,0.00032459308002399706,0.00032459308002399706,0.0005371630406883328,0.0005371630406883328,0.4935822988764166,0.11931012764735216,0.0525879917184265,0.4,1,8,0.0003,variance_head,1
two_stage_neural_mcts,pure_mct,combined,0.36017007401218737,0.34636370405903477,53.2,90.0,10.0,0.0,0.4581829121540313,0.9626789310504764,6004.2,0.0002323687531601267,6004.2,0.05148866394448124,352.2,0.003977351708669761,0.0505186870636255,0.0005408618327386041,0.00032682815990296146,0.00032682815990296146,0.0005408618327386041,0.0005408618327386041,0.4969810030778435,0.1282409811085325,0.02639122853680882,0.9,1,8,0.0003,variance_head,1
two_stage_neural_mcts,neural_mcts:token_transformer,combined,0.35470500163343155,0.353268404595205,42.5,60.0,40.0,0.0,0.756556536693455,0.06169486637228189,4801.0,0.00023118114889147777,4801.0,0.03510158041779034,168.0,0.0037370281379612803,0.03525420935558965,0.0005382952059519604,0.0003252772168356924,0.0003252772168356924,0.0005382952059519604,0.0005382952059519604,0.49462261008772634,0.9892452201754527,0.049944398781608085,0.6,1,4,0.0004,variance_head,0
two_stage_neural_mcts,pure_mct,combined,0.35754954268288236,0.34897988656598117,49.6,90.0,10.0,0.0,0.4568499861819461,0.06225834653888847,5622.2,0.0002335672834382594,5622.2,0.03506165488397968,196.4,0.003932771665012914,0.035576198022221985,0.0005400450991450069,0.000326334629908111,0.000326334629908111,0.0005400450991450069,0.0005400450991450069,0.49623053215158475,0.9924610643031695,0.02601313471087618,0.9,1,4,0.0004,variance_head,0
two_stage_neural_mcts,neural_mcts:token_transformer,combined,0.3514567578382245,0.3562402666786425,49.3,40.0,60.0,0.0,0.754271669282478,0.13757604639617768,5359.6,0.00023884049015866397,5359.6,0.0734243069303422,390.4,0.0038701491502923847,0.07337389141129477,0.0005373387792789793,0.00032469927409562187,0.00032469927409562187,0.0005373387792789793,0.0005373387792789793,0.4937437795647778,0.9874875591295555,0.05153442792057079,0.4,1,8,0.0004,variance_head,0
two_stage_neural_mcts,pure_mct,combined,0.35500184625066517,0.3511514547484961,58.4,70.0,30.0,0.0,0.4471802846713752,0.1368360956808461,6426.4,0.00023171732781208373,6426.4,0.07232395300470382,463.2,0.004030555038794533,0.07297925102978459,0.0005393993273862795,0.00032594440752071584,0.00032594440752071584,0.0005393993273862795,0.0005393993273862795,0.4956371527023701,0.9912743054047402,0.026057742208625823,0.7,1,8,0.0004,variance_head,0
two_stage_neural_mcts,neural_mcts:token_transformer,combined,0.35638482288585926,0.3517066762075498,36.2,50.0,50.0,0.0,0.7563998295960652,0.918408392448538,4089.4,0.00023082847686591658,4089.4,0.030453300310009403,129.2,0.004081434685863499,0.02962389737535275,0.0005378734708023741,0.0003250223737046698,0.0003250223737046698,0.0005378734708023741,0.0005378734708023741,0.49423509086379924,0.12274060144200724,0.05083295298950251,0.5,1,4,0.0004,variance_head,1
two_stage_neural_mcts,pure_mct,combined,0.35896735449509276,0.3475877769398337,46.2,90.0,10.0,0.0,0.4610052456910395,0.9192936248452461,5260.4,0.00023679267556551896,5260.4,0.025982789618195862,149.6,0.0040014607470657965,0.025366570226950703,0.0005395157321270366,0.00032601474775351244,0.00032601474775351244,0.0005395157321270366,0.0005395157321270366,0.49574411337388125,0.11729067078595046,0.025551564905079528,0.9,1,4,0.0004,variance_head,1
two_stage_neural_mcts,neural_mcts:token_transformer,combined,0.3562776840096083,0.3517256424723625,36.6,50.0,50.0,0.0,0.7585854215019079,0.9634847949688901,4024.2,0.00023279677522133397,4024.2,0.048987119237206354,209.2,0.004004543534494271,0.047647089554845846,0.0005377609961222119,0.00032495440830107136,0.00032495440830107136,0.0005377609961222119,0.0005377609961222119,0.49413174140191407,0.11651938175847923,0.050605437514279185,0.5,1,8,0.0004,variance_head,1
