best_val_loss,config,dataset_games,test_loss,test_sign_acc
0.36128814998404774,fact_mlp,200,0.3326785084775803,0.8636363636363636
0.978930585802506,token_mlp,200,0.9925001183342853,0.5454545454545454
0.9681355645644524,token_transformer,200,1.0262862909522523,0.51010101010101
0.36349482669421246,fact_mlp,500,0.3768386261146625,0.8456507521255723
0.9668673580584373,token_mlp,500,0.9704591049876691,0.5853499018966645
0.9617552021085318,token_transformer,500,0.9575384216342898,0.6030085022890779
0.40056007754133977,fact_mlp,1000,0.3908200389028756,0.8408862034239678
0.985411157834678,token_mlp,1000,0.9797719770447846,0.5552198724404163
0.9537632685200976,token_transformer,1000,0.9535463918331847,0.5904665995300437
0.4387798235909986,fact_mlp,2000,0.4514838284374135,0.8201754385964912
0.9777959916046931,token_mlp,2000,0.9841682529821266,0.543859649122807
0.985796541605129,token_transformer,2000,0.981611737111236,0.5560428849902534
