agent_a_key,agent_b_key,avg_decision_sec_a,avg_decision_sec_b,avg_game_length,avg_score_a,avg_score_b,draw_rate,draws,game,legal_cache_hit_rate,losses_a,mean_fast_calls_a,mean_fast_calls_b,mean_fast_eval_time_a,mean_fast_eval_time_b,mean_leaf_eval_a,mean_leaf_eval_b,mean_slow_call_ratio_a,mean_slow_call_ratio_b,mean_slow_calls_a,mean_slow_calls_b,mean_slow_eval_time_a,mean_slow_eval_time_b,n_matches,next_cache_hit_rate,uncertainty_variant,win_rate_a,wins_a
two_stage_neural_mcts,neural_mcts:token_transformer,0.34730808785267,0.3549658953159007,36.7,30.0,70.0,0.0,0,breakthrough,0.7862770108043218,14,5896.6,0.0,0.00038571862587599037,0.0,5896.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.04734751013854293,margin,0.3,6
two_stage_neural_mcts,neural_mcts:token_transformer,0.3491896000862018,0.35270218466291625,36.55,45.0,55.0,0.0,0,breakthrough,0.7833513079681974,11,5901.4,0.0,0.00036851490608220424,0.0,5901.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.04630124593938895,variance_head,0.45,9
