agent_a_key,agent_b_key,mean_avg_decision_sec_a,mean_avg_decision_sec_b,mean_avg_game_length,mean_avg_score_a,mean_avg_score_b,mean_draw_rate,mean_legal_cache_hit_rate,mean_mean_fast_calls_a,mean_mean_fast_eval_time_a,mean_mean_leaf_eval_a,mean_mean_slow_call_ratio_a,mean_mean_slow_calls_a,mean_mean_slow_eval_time_a,mean_next_cache_hit_rate,mean_win_rate_a,n_games,uncertainty_variant
two_stage_neural_mcts,neural_mcts:token_transformer,0.34730808785267,0.3549658953159007,36.7,30.0,70.0,0.0,0.7862770108043218,5896.6,0.00038571862587599037,5896.6,0.0,0.0,0.0,0.04734751013854293,0.3,1,margin
two_stage_neural_mcts,neural_mcts:token_transformer,0.3491896000862018,0.35270218466291625,36.55,45.0,55.0,0.0,0.7833513079681974,5901.4,0.00036851490608220424,5901.4,0.0,0.0,0.0,0.04630124593938895,0.45,1,variance_head
