agent_a_key,agent_b_key,gate_type,mean_avg_decision_sec_a,mean_avg_decision_sec_b,mean_avg_game_length,mean_avg_score_a,mean_avg_score_b,mean_draw_rate,mean_legal_cache_hit_rate,mean_mean_budget_ok_rate_a,mean_mean_fast_calls_a,mean_mean_fast_eval_time_a,mean_mean_leaf_eval_a,mean_mean_slow_call_ratio_a,mean_mean_slow_calls_a,mean_mean_slow_eval_time_a,mean_mean_slow_trigger_rate_a,mean_mean_u_fast_max_a,mean_mean_u_fast_mean_a,mean_mean_u_fast_p50_a,mean_mean_u_fast_p90_a,mean_mean_u_fast_p95_a,mean_mean_uncertainty_ok_rate_a,mean_mean_visit_ok_rate_a,mean_next_cache_hit_rate,mean_win_rate_a,n_games,slow_budget_per_move,tau,uncertainty_type,visit_threshold
two_stage_neural_mcts,neural_mcts:token_transformer,combined,0.35514386397239023,0.3665926638548662,48.5,50.0,50.0,0.0,0.7778313585009644,0.9933981718041727,3866.0,0.0003218390934472651,3866.0,0.0,0.0,0.0,0.0,0.0005405550237470809,0.00032664276353725104,0.00032664276353725104,0.0005405550237470809,0.0005405550237470809,0.0,0.9933981718041727,0.04974856321839081,0.5,1,4,0.001,variance_head,0
two_stage_neural_mcts,pure_mct,combined,0.35911853698085955,0.35046183241344464,60.875,87.5,12.5,0.0,0.385076099210823,0.993601933636454,4490.0,0.00029710296199236743,4490.0,0.0,0.0,0.0,0.0,0.0005406659002165711,0.0003267097631854172,0.0003267097631854172,0.0005406659002165711,0.0005406659002165711,0.0,0.993601933636454,0.030427892234548337,0.875,1,4,0.001,variance_head,0
two_stage_neural_mcts,neural_mcts:token_transformer,combined,0.35468174472785075,0.36694498276702603,52.25,50.0,50.0,0.0,0.7921396696155953,0.993947787017916,3803.5,0.0002562311639197595,3803.5,0.0,0.0,0.0,0.0,0.0005408540954318789,0.0003268234844580206,0.0003268234844580206,0.0005408540954318789,0.0005408540954318789,0.0,0.993947787017916,0.05058482455263421,0.5,1,8,0.001,variance_head,0
two_stage_neural_mcts,pure_mct,combined,0.3582518739400223,0.3504375140431054,62.875,87.5,12.5,0.0,0.38448764962291565,0.9941260650532051,4570.75,0.00026106437249606707,4570.75,0.0,0.0,0.0,0.0,0.0005409511049597143,0.00032688210468883813,0.00032688210468883813,0.0005409511049597143,0.0005409511049597143,0.0,0.9941260650532051,0.030853909066242878,0.875,1,8,0.001,variance_head,0
two_stage_neural_mcts,neural_mcts:token_transformer,combined,0.35520275634527754,0.3706909163593267,51.5,50.0,50.0,0.0,0.7910589727330374,0.9939644958699837,3792.0,0.00024813976046207176,3792.0,0.0,0.0,0.0,0.0,0.0005408631875101438,0.00032682897855471803,0.00032682897855471803,0.0005408631875101438,0.0005408631875101438,0.0,0.0016416288737717308,0.05115810674723061,0.5,1,4,0.001,variance_head,1
two_stage_neural_mcts,pure_mct,combined,0.3565140666800378,0.3525389943517111,59.125,62.5,37.5,0.0,0.3803573385947605,0.9936378729891389,4376.75,0.0002545485740486209,4376.75,0.0,0.0,0.0,0.0,0.0005406854565215809,0.00032672158053098307,0.00032672158053098307,0.0005406854565215809,0.0005406854565215809,0.0,0.0025969176001629448,0.03012391977824882,0.625,1,4,0.001,variance_head,1
two_stage_neural_mcts,neural_mcts:token_transformer,combined,0.35454155083149913,0.3649004250186952,49.25,50.0,50.0,0.0,0.7898265314673594,0.9938169931788763,3575.0,0.0002520497133952261,3575.0,0.0,0.0,0.0,0.0,0.0005407829243055625,0.00032678047767358096,0.00032678047767358096,0.0005407829243055625,0.0005407829243055625,0.0,0.003097252409984944,0.051689008042895446,0.5,1,8,0.001,variance_head,1
two_stage_neural_mcts,pure_mct,combined,0.3574663031859358,0.3516735846067176,60.875,62.5,37.5,0.0,0.3779494382022472,0.9937940155819412,4515.0,0.0002586162047524744,4515.0,0.0,0.0,0.0,0.0,0.0005407704211061311,0.00032677292232872996,0.00032677292232872996,0.0005407704211061311,0.0005407704211061311,0.0,0.0020669603873938237,0.02962234461054288,0.625,1,8,0.001,variance_head,1
two_stage_neural_mcts,neural_mcts:token_transformer,combined,0.35571393271451973,0.37231708996132107,54.0,50.0,50.0,0.0,0.787993803253292,0.9947132232846518,3798.0,0.00026260067561612634,3798.0,0.0,0.0,0.0,0.0,0.0005412706055796587,0.00032707517026193565,0.00032707517026193565,0.0005412706055796587,0.0005412706055796587,0.0,0.000517901813633521,0.05512833316688305,0.5,1,4,0.001,variance_head,2
two_stage_neural_mcts,pure_mct,combined,0.35907585310187434,0.3506100551616881,58.625,87.5,12.5,0.0,0.38979028053383136,0.9940105315484487,4126.75,0.00030541915226989084,4126.75,0.0,0.0,0.0,0.0,0.000540888237704489,0.00032684411570884405,0.00032684411570884405,0.000540888237704489,0.000540888237704489,0.0,0.00029644268774703554,0.031845199357889716,0.875,1,4,0.001,variance_head,2
two_stage_neural_mcts,neural_mcts:token_transformer,combined,0.3553212637094304,0.37196935207218457,47.5,50.0,50.0,0.0,0.7979652471414423,0.9936614205669084,3317.25,0.0003161597728532289,3317.25,0.0,0.0,0.0,0.0,0.0005406982698745965,0.00032672932329324655,0.00032672932329324655,0.0005406982698745965,0.0005406982698745965,0.0,0.0,0.05291970802919708,0.5,1,8,0.001,variance_head,2
two_stage_neural_mcts,pure_mct,combined,0.35998324342345156,0.3497425391012535,58.25,75.0,25.0,0.0,0.3925836841050311,0.994139760779523,4040.0,0.0003115163064095262,4040.0,0.0,0.0,0.0,0.0,0.0005409585574534628,0.0003268866080290094,0.0003268866080290094,0.0005409585574534628,0.0005409585574534628,0.0,0.0,0.032422066628015875,0.75,1,8,0.001,variance_head,2
two_stage_neural_mcts,neural_mcts:token_transformer,combined,0.35503713596703707,0.3723759958099319,49.375,37.5,62.5,0.0,0.7956514206514207,0.9938703384508492,3454.25,0.0003025703359387566,3454.25,0.0,0.0,0.0,0.0,0.0005408119519961467,0.00032679801832098036,0.00032679801832098036,0.0005408119519961467,0.0005408119519961467,0.0,0.9938703384508492,0.055385623771029055,0.375,1,4,0.003,variance_head,0
two_stage_neural_mcts,pure_mct,combined,0.36016680677848456,0.3498751245992711,64.25,100.0,0.0,0.0,0.3939383044509959,0.9943798449612403,4516.75,0.0003153464722461306,4516.75,0.0,0.0,0.0,0.0,0.0005410891986346456,0.0003269655509572566,0.0003269655509572566,0.0005410891986346456,0.0005410891986346456,0.0,0.9943798449612403,0.03243134896772901,1.0,1,4,0.003,variance_head,0
two_stage_neural_mcts,neural_mcts:token_transformer,combined,0.35752926454503237,0.37062056697988155,54.625,62.5,37.5,0.0,0.8012344714430815,0.9941347845599299,3824.0,0.00030544760935587086,3824.0,0.0,0.0,0.0,0.0,0.0005409558496565524,0.00032688497178065903,0.00032688497178065903,0.0005409558496565524,0.0005409558496565524,0.0,0.9941347845599299,0.054030027657052546,0.625,1,8,0.003,variance_head,0
two_stage_neural_mcts,pure_mct,combined,0.3591885273819593,0.3512882010152648,62.625,87.5,12.5,0.0,0.3906429285264833,0.9944259418817014,4343.0,0.00031568402766621756,4343.0,0.0,0.0,0.0,0.0,0.0005411142821536634,0.00032698070824857984,0.00032698070824857984,0.0005411142821536634,0.0005411142821536634,0.0,0.9944259418817014,0.03266757639664227,0.875,1,8,0.003,variance_head,0
