agent_a_key,agent_b_key,avg_decision_sec_a,avg_decision_sec_b,avg_game_length,avg_score_a,avg_score_b,draw_rate,draws,game,gate_type,legal_cache_hit_rate,losses_a,mean_budget_ok_rate_a,mean_budget_ok_rate_b,mean_fast_calls_a,mean_fast_calls_b,mean_fast_eval_time_a,mean_fast_eval_time_b,mean_leaf_eval_a,mean_leaf_eval_b,mean_slow_call_ratio_a,mean_slow_call_ratio_b,mean_slow_calls_a,mean_slow_calls_b,mean_slow_eval_time_a,mean_slow_eval_time_b,mean_slow_trigger_rate_a,mean_slow_trigger_rate_b,mean_u_fast_max_a,mean_u_fast_max_b,mean_u_fast_mean_a,mean_u_fast_mean_b,mean_u_fast_p50_a,mean_u_fast_p50_b,mean_u_fast_p90_a,mean_u_fast_p90_b,mean_u_fast_p95_a,mean_u_fast_p95_b,mean_uncertainty_ok_rate_a,mean_uncertainty_ok_rate_b,mean_visit_ok_rate_a,mean_visit_ok_rate_b,n_matches,next_cache_hit_rate,slow_budget_per_move,tau,uncertainty_type,visit_threshold,win_rate_a,wins_a
two_stage_neural_mcts,neural_mcts:token_transformer,0.3553212637094304,0.37196935207218457,47.5,50.0,50.0,0.0,0,breakthrough,combined,0.7979652471414423,4,0.9936614205669084,0.0,3317.25,0.0,0.0003161597728532289,0.0,3317.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005406982698745965,0.0,0.00032672932329324655,0.0,0.00032672932329324655,0.0,0.0005406982698745965,0.0,0.0005406982698745965,0.0,0.0,0.0,0.0,0.0,8,0.05291970802919708,8,0.001,variance_head,2,0.5,4
two_stage_neural_mcts,pure_mct,0.35998324342345156,0.3497425391012535,58.25,75.0,25.0,0.0,0,breakthrough,combined,0.3925836841050311,2,0.994139760779523,0.0,4040.0,0.0,0.0003115163064095262,0.0,4040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005409585574534628,0.0,0.0003268866080290094,0.0,0.0003268866080290094,0.0,0.0005409585574534628,0.0,0.0005409585574534628,0.0,0.0,0.0,0.0,0.0,8,0.032422066628015875,8,0.001,variance_head,2,0.75,6
two_stage_neural_mcts,neural_mcts:token_transformer,0.35503713596703707,0.3723759958099319,49.375,37.5,62.5,0.0,0,breakthrough,combined,0.7956514206514207,5,0.9938703384508492,0.0,3454.25,0.0,0.0003025703359387566,0.0,3454.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005408119519961467,0.0,0.00032679801832098036,0.0,0.00032679801832098036,0.0,0.0005408119519961467,0.0,0.0005408119519961467,0.0,0.0,0.0,0.9938703384508492,0.0,8,0.055385623771029055,4,0.003,variance_head,0,0.375,3
two_stage_neural_mcts,pure_mct,0.36016680677848456,0.3498751245992711,64.25,100.0,0.0,0.0,0,breakthrough,combined,0.3939383044509959,0,0.9943798449612403,0.0,4516.75,0.0,0.0003153464722461306,0.0,4516.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005410891986346456,0.0,0.0003269655509572566,0.0,0.0003269655509572566,0.0,0.0005410891986346456,0.0,0.0005410891986346456,0.0,0.0,0.0,0.9943798449612403,0.0,8,0.03243134896772901,4,0.003,variance_head,0,1.0,8
two_stage_neural_mcts,neural_mcts:token_transformer,0.35752926454503237,0.37062056697988155,54.625,62.5,37.5,0.0,0,breakthrough,combined,0.8012344714430815,3,0.9941347845599299,0.0,3824.0,0.0,0.00030544760935587086,0.0,3824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005409558496565524,0.0,0.00032688497178065903,0.0,0.00032688497178065903,0.0,0.0005409558496565524,0.0,0.0005409558496565524,0.0,0.0,0.0,0.9941347845599299,0.0,8,0.054030027657052546,8,0.003,variance_head,0,0.625,5
two_stage_neural_mcts,pure_mct,0.3591885273819593,0.3512882010152648,62.625,87.5,12.5,0.0,0,breakthrough,combined,0.3906429285264833,1,0.9944259418817014,0.0,4343.0,0.0,0.00031568402766621756,0.0,4343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005411142821536634,0.0,0.00032698070824857984,0.0,0.00032698070824857984,0.0,0.0005411142821536634,0.0,0.0005411142821536634,0.0,0.0,0.0,0.9944259418817014,0.0,8,0.03266757639664227,8,0.003,variance_head,0,0.875,7
two_stage_neural_mcts,neural_mcts:token_transformer,0.3555605724457017,0.37280631476515275,50.25,50.0,50.0,0.0,0,breakthrough,combined,0.7981865069461775,4,0.9939751017464833,0.0,3591.0,0.0,0.0002948542438706589,0.0,3591.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000540868958670174,0.0,0.00032683246591045105,0.0,0.00032683246591045105,0.0,0.000540868958670174,0.0,0.000540868958670174,0.0,0.0,0.0,0.008074359106089413,0.0,8,0.053705465694047994,4,0.003,variance_head,1,0.5,4
two_stage_neural_mcts,pure_mct,0.35848963714620674,0.35118016813896685,61.5,75.0,25.0,0.0,0,breakthrough,combined,0.38571897930128135,2,0.9943155436686487,0.0,4392.5,0.0,0.00029672777381243887,0.0,4392.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005410542092540223,0.0,0.000326944407821999,0.0,0.000326944407821999,0.0,0.0005410542092540223,0.0,0.0005410542092540223,0.0,0.0,0.0,0.003731618928593756,0.0,8,0.032185872395833336,4,0.003,variance_head,1,0.75,6
two_stage_neural_mcts,neural_mcts:token_transformer,0.3551589337126937,0.37046126292192527,51.75,50.0,50.0,0.0,0,breakthrough,combined,0.7990243902439025,4,0.9938570572814405,0.0,3685.5,0.0,0.00028546692368943425,0.0,3685.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000540804725082459,0.0,0.00032679365129273147,0.0,0.00032679365129273147,0.0,0.000540804725082459,0.0,0.000540804725082459,0.0,0.0,0.0,0.005204927127416438,0.0,8,0.05421501180819386,8,0.003,variance_head,1,0.5,4
two_stage_neural_mcts,pure_mct,0.35851969605374323,0.3507833284541896,63.375,87.5,12.5,0.0,0,breakthrough,combined,0.3878048780487805,1,0.994188533730707,0.0,4598.5,0.0,0.00028712665034456397,0.0,4598.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005409850971276174,0.0,0.0003269026452354516,0.0,0.0003269026452354516,0.0,0.0005409850971276174,0.0,0.0005409850971276174,0.0,0.0,0.0,0.00445415434309738,0.0,8,0.03089133564175388,8,0.003,variance_head,1,0.875,7
