agent_a_key,agent_b_key,avg_decision_sec_a,avg_decision_sec_b,avg_game_length,avg_score_a,avg_score_b,draw_rate,draws,game,legal_cache_hit_rate,losses_a,mean_fast_calls_a,mean_fast_calls_b,mean_fast_eval_time_a,mean_fast_eval_time_b,mean_leaf_eval_a,mean_leaf_eval_b,mean_slow_call_ratio_a,mean_slow_call_ratio_b,mean_slow_calls_a,mean_slow_calls_b,mean_slow_eval_time_a,mean_slow_eval_time_b,n_matches,next_cache_hit_rate,win_rate_a,wins_a
two_stage_neural_mcts,random,0.1133986839419739,2.560689070609413e-06,5.85,85.0,15.0,0.0,0,ticTacToe,0.895648825567963,3,809.1,0.0,0.0003075088610947293,0.0,809.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.05582137161084529,0.85,17
neural_mcts:token_transformer,random,0.2590434102867642,2.7770153697236397e-06,5.85,85.0,15.0,0.0,0,ticTacToe,0.9177851118445178,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.060221870047543584,0.85,17
neural_mcts:token_mlp,random,0.11400362794491692,2.6486195889042897e-06,5.8,90.0,10.0,0.0,0,ticTacToe,0.895124789861632,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.05574594471098926,0.9,18
two_stage_neural_mcts,random,0.10911884895888199,2.5589894321033357e-06,9.0,90.0,10.0,0.0,0,connectFour,0.8423460359932674,2,1701.3,0.0,0.0002894332747656337,0.0,1701.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.028031070584262074,0.9,18
neural_mcts:token_transformer,random,0.3154005450356093,3.0857226402883486e-06,12.7,80.0,20.0,0.0,0,connectFour,0.8624359621906342,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.02915654286706005,0.8,16
neural_mcts:token_mlp,random,0.1005054017091918,3.76078665643981e-05,9.1,90.0,10.0,0.0,0,connectFour,0.8437767139681996,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.028050961108627627,0.9,18
two_stage_neural_mcts,random,0.3523086391652973,3.2371558676526175e-06,52.6,90.0,10.0,0.0,0,breakthrough,0.8157224100005365,2,8469.3,0.0,0.0003660659657205952,0.0,8469.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.013602487311965616,0.9,18
neural_mcts:token_transformer,random,0.35623457810930476,3.48081828216793e-06,48.9,80.0,20.0,0.0,0,breakthrough,0.7185004666597532,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.020450784143746552,0.8,16
neural_mcts:token_mlp,random,0.35213081488151776,3.145324045572718e-06,57.55,75.0,25.0,0.0,0,breakthrough,0.8246259329357569,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.01291426476279714,0.75,15
