agent_a_key,agent_b_key,gate_variant,mean_avg_decision_sec_a,mean_avg_decision_sec_b,mean_avg_game_length,mean_avg_score_a,mean_avg_score_b,mean_draw_rate,mean_legal_cache_hit_rate,mean_mean_fast_calls_a,mean_mean_fast_eval_time_a,mean_mean_leaf_eval_a,mean_mean_slow_call_ratio_a,mean_mean_slow_calls_a,mean_mean_slow_eval_time_a,mean_next_cache_hit_rate,mean_win_rate_a,n_games
two_stage_neural_mcts,neural_mcts:token_transformer,uncertainty,0.35221792114372497,0.3503685884484896,42.6,60.0,40.0,0.0,0.7729272539055148,6391.8,0.00042653127174096736,6391.8,0.0,0.0,0.0,0.04537849878752561,0.6,1
two_stage_neural_mcts,neural_mcts:token_transformer,visit,0.34821966591576303,0.36016053964799377,42.55,15.0,85.0,0.0,0.7693865484109387,5368.4,0.0006548721302365971,5368.4,0.0,0.0,0.0,0.04654009659685281,0.15,1
two_stage_neural_mcts,neural_mcts:token_transformer,uncertainty_visit,0.35046797438478267,0.36246688407397015,37.05,25.0,75.0,0.0,0.7917234837256181,3090.5,0.0009026217654984327,3090.5,0.0,0.0,0.0,0.05199831398245009,0.25,1
two_stage_neural_mcts,neural_mcts:token_transformer,combined,0.34901563619619014,0.35934135496557706,53.4,60.0,40.0,0.0,0.7663814293413252,6140.4,0.0006366879899092629,6140.4,0.0,0.0,0.0,0.04897927651273731,0.6,1
