agent_a_key,agent_b_key,mean_avg_decision_sec_a,mean_avg_decision_sec_b,mean_avg_game_length,mean_avg_score_a,mean_avg_score_b,mean_draw_rate,mean_legal_cache_hit_rate,mean_mean_budget_ok_rate_a,mean_mean_fast_calls_a,mean_mean_fast_eval_time_a,mean_mean_leaf_eval_a,mean_mean_slow_call_ratio_a,mean_mean_slow_calls_a,mean_mean_slow_eval_time_a,mean_mean_slow_trigger_rate_a,mean_mean_u_fast_max_a,mean_mean_u_fast_mean_a,mean_mean_u_fast_p50_a,mean_mean_u_fast_p90_a,mean_mean_u_fast_p95_a,mean_mean_uncertainty_ok_rate_a,mean_mean_visit_ok_rate_a,mean_next_cache_hit_rate,mean_win_rate_a,n_games
two_stage_neural_mcts,random,0.22860302089903817,3.620413471132162e-06,18.316666666666666,86.66666666666667,13.333333333333334,0.03333333333333333,0.8254435304847877,0.1258035599812505,2431.7000000000003,0.0002452876819649872,2431.7000000000003,0.0531961663735678,141.86666666666667,0.0026795452713916632,0.1258035599812505,0.000396287472933638,0.00031659177247304193,0.000316011887487453,0.0003950029639665806,0.0003950032810920805,0.9546255649105754,0.9546255649105754,0.03443688302674173,0.85,3
neural_mcts:token_transformer,random,0.3160892813183951,3.874093979571753e-06,27.383333333333336,75.0,25.0,0.0,0.835062606819815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039257723384850195,0.75,3
neural_mcts:token_mlp,random,0.20977189862487655,3.585337667557109e-06,22.833333333333332,86.66666666666667,13.333333333333334,0.0,0.8265877722028115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033609583941114206,0.8666666666666667,3
